ID|Checkout Date|Member ID|Returned
9|2017-02-06|xlaa|True
31|2017-02-14|xzap|True
22|2017-02-24|xlqp|True
29|2017-03-03|xlbv|True
16|2017-03-08|xzqm|True
33|2017-03-12|xzbb|True
7|2017-03-24|xlbv|True
32|2017-04-07|xzww|True
11|2017-04-16|xlsf|True
34|2017-04-19|xzpx|True
8|2017-05-03|xzqm|True
26|2017-05-15|xlbv|True
22|2017-05-18|xzbb|True
33|2017-05-31|xzsd|True
20|2017-06-09|xlma|True
23|2017-06-15|xzag|True
29|2017-06-18|xlbv|True
27|2017-07-01|xzsd|True
24|2017-07-09|xzbv|True
13|2017-07-23|xzpx|True
4|2017-08-05|xlbv|True
20|2017-08-17|xzsd|True
26|2017-08-19|xzqm|True
24|2017-08-20|xzbb|True
32|2017-08-23|xzww|True
6|2017-08-30|xzqm|True
14|2017-09-02|xlma|True
9|2017-09-08|xzcn|True
27|2017-09-21|xzyc|True
18|2017-09-25|xlsf|True
5|2017-10-05|xlbv|True
25|2017-10-18|xlma|True
9|2017-10-19|xzap|True
30|2017-10-20|xzpx|True
31|2017-10-23|xlbv|True
17|2017-11-05|xzag|True
10|2017-11-08|xlaa|True
27|2017-11-10|xzyc|True
13|2017-11-24|xzbb|True
29|2017-11-29|xlaa|True
10|2017-12-05|xzyc|True
21|2017-12-13|xzwo|True
28|2017-12-17|xlko|True
6|2017-12-31|xlko|True
34|2018-01-12|xzpx|True
26|2018-01-15|xlaa|True
5|2018-01-23|xlma|True
2|2018-02-03|xzap|True
19|2018-02-11|xlko|True
25|2018-02-14|xlsf|True
12|2018-02-19|xzsd|True
18|2018-03-05|xlsf|True
5|2018-03-09|xzwo|True
15|2018-03-22|xzww|True
18|2018-04-01|xzcn|True
27|2018-04-08|xlko|True
4|2018-04-22|xzyc|True
29|2018-04-27|xzsd|True
24|2018-05-03|xzwo|True
1|2018-05-06|xzsd|True
26|2018-05-13|xzwo|True
20|2018-05-14|xzcn|True
9|2018-05-21|xzbv|True
29|2018-05-31|xzag|True
16|2018-06-10|xlrq|True
31|2018-06-17|xzwo|True
20|2018-06-24|xzww|True
24|2018-06-29|xlrq|True
9|2018-06-30|xzwo|True
11|2018-07-13|xlqp|True
3|2018-07-27|xzag|True
34|2018-08-03|xlaa|True
8|2018-08-11|xzww|True
32|2018-08-16|xzww|True
21|2018-08-19|xzsd|True
7|2018-08-30|xlsf|True
3|2018-09-01|xzbb|True
19|2018-09-11|xlrq|True
24|2018-09-19|xzyc|True
20|2018-09-28|xlaa|True
14|2018-10-03|xzap|True
9|2018-10-14|xlko|True
26|2018-10-16|xzsd|True
23|2018-10-28|xlko|True
6|2018-11-10|xlrq|True
20|2018-11-24|xzsd|True
1|2018-12-06|xzqm|True
34|2018-12-11|xlma|True
14|2018-12-25|xlbv|True
20|2018-12-26|xlqp|True
12|2019-01-09|xlbv|True
18|2019-01-19|xlbv|True
28|2019-01-24|xzwo|True
4|2019-01-27|xlko|True
3|2019-01-30|xzyc|True
31|2019-02-06|xzpx|True
26|2019-02-08|xzwo|True
32|2019-02-17|xzbv|True
25|2019-02-23|xlaa|True
27|2019-03-04|xzap|True
31|2019-03-17|xzqm|True
1|2019-03-19|xzww|True
28|2019-03-27|xzsd|True
32|2019-04-07|xzqm|True
8|2019-04-12|xzbb|True
21|2019-04-21|xlaa|True
10|2019-05-04|xzqm|True
9|2019-05-16|xzsd|True
32|2019-05-29|xlko|True
27|2019-06-09|xzpx|True
18|2019-06-19|xzcn|True
12|2019-06-26|xzbv|True
6|2019-06-27|xlrq|True
2|2019-07-07|xlqp|True
14|2019-07-19|xzww|True
27|2019-07-28|xzcn|True
22|2019-07-31|xlrq|True
15|2019-08-04|xzbv|True
31|2019-08-13|xzqm|True
16|2019-08-18|xzag|True
27|2019-09-01|xzwo|True
13|2019-09-06|xzcn|True
1|2019-09-13|xlma|True
21|2019-09-26|xzyc|True
28|2019-10-02|xzcn|True
17|2019-10-06|xzcn|True
9|2019-10-10|xzag|True
32|2019-10-23|xzcn|True
21|2019-10-31|xlsf|True
7|2019-11-04|xlsf|True
11|2019-11-14|xlsf|True
31|2019-11-21|xzyc|True
6|2019-11-22|xzqm|True
13|2019-11-23|xlma|True
9|2019-12-04|xlma|True
11|2019-12-17|xzwo|True
21|2019-12-21|xzqm|True
4|2020-01-02|xzpx|True
19|2020-01-05|xlrq|True
20|2020-01-09|xzag|True
10|2020-01-11|xlko|True
18|2020-01-17|xlma|True
14|2020-01-29|xlaa|True
34|2020-02-09|xzwo|True
32|2020-02-12|xlma|True
7|2020-02-23|xzqm|True
11|2020-02-26|xzbv|True
1|2020-03-06|xzpx|True
7|2020-03-18|xlsf|True
27|2020-03-27|xzap|True
17|2020-04-08|xzcn|True
29|2020-04-13|xzsd|True
7|2020-04-15|xlma|True
25|2020-04-18|xzbb|True
1|2020-04-29|xzap|True
11|2020-05-05|xlma|True
32|2020-05-10|xzag|True
33|2020-05-28|xlrq|True
11|2020-06-02|xzqm|True
9|2020-06-04|xlaa|True
17|2020-06-17|xlrq|True
29|2020-06-27|xlqp|True
31|2020-07-02|xzpx|True
19|2020-07-16|xzpx|True
17|2020-07-18|xzbv|True
13|2020-07-28|xzap|True
27|2020-08-10|xzap|True
12|2020-08-16|xlbv|True
13|2020-08-21|xlaa|True
9|2020-08-30|xzbv|True
29|2020-09-09|xlbv|True
14|2020-09-14|xlko|True
15|2020-09-20|xzpx|True
16|2020-10-02|xlaa|True
25|2020-10-08|xlsf|True
24|2020-10-20|xzww|True
20|2020-11-01|xzbv|True
4|2020-11-08|xzap|True
18|2020-11-13|xlrq|True
12|2020-11-19|xzbb|True
2|2020-11-26|xzcn|True
8|2020-12-10|xlko|True
25|2020-12-17|xlma|True
11|2020-12-23|xzpx|True
4|2020-12-24|xlaa|True
30|2020-12-27|xlrq|True
18|2021-01-02|xlrq|True
10|2021-01-11|xzqm|True
12|2021-01-17|xzag|True
29|2021-02-07|xzbb|True
26|2021-02-08|xzap|True
25|2021-02-14|xzpx|True
19|2021-02-25|xlaa|True
5|2021-03-11|xzcn|True
15|2021-03-15|xlko|True
22|2021-03-16|xzsd|True
30|2021-03-30|xzbv|True
20|2021-04-02|xzbv|True
11|2021-04-23|xlma|True
15|2021-05-02|xzbb|True
4|2021-05-08|xlrq|True
23|2021-05-19|xlsf|True
8|2021-05-21|xzcn|True
22|2021-06-03|xzqm|True
6|2021-06-12|xlko|True
4|2021-06-25|xzyc|True
24|2021-07-09|xzww|True
25|2021-07-14|xzap|True
34|2021-07-18|xzbb|True
3|2021-07-23|xzag|True
30|2021-08-05|xzyc|True
8|2021-08-20|xlko|True
22|2021-08-23|xzag|True
6|2021-08-28|xlsf|False
5|2021-09-02|xlbv|True
7|2021-09-06|xzap|False
32|2021-09-07|xzyc|False
23|2021-09-30|xzww|True
33|2021-10-11|xlaa|True
1|2021-10-22|xzpx|False
11|2021-11-02|xzyc|False
30|2021-11-04|xzap|False
27|2021-11-11|xlma|False
14|2021-11-18|xlrq|False
21|2021-12-01|xlma|False
2|2021-12-06|xlko|False
